pos,neg,neu,compound
0.0,0.211,0.789,-0.7717
0.199,0.294,0.506,-0.2795
0.227,0.122,0.651,0.6494
0.0,0.518,0.482,-0.6486
0.078,0.235,0.686,-0.7003
0.16,0.308,0.533,-0.3612
0.04,0.0,0.96,0.0772
0.109,0.18,0.71,-0.5994
0.0,0.104,0.896,-0.296
0.108,0.058,0.833,0.0516
0.128,0.19,0.682,-0.4767
0.0,0.0,1.0,0.0
0.107,0.423,0.47,-0.8126
0.294,0.0,0.706,0.3612
0.0,0.543,0.457,-0.9638
0.091,0.228,0.681,-0.7906
0.0,0.422,0.578,-0.8074
0.0,0.0,1.0,0.0
0.403,0.0,0.597,0.6597
0.0,0.129,0.871,-0.7
0.0,0.174,0.826,-0.8591
0.0,0.205,0.795,-0.5574
0.0,0.0,1.0,0.0
0.0,0.315,0.685,-0.6808
0.0,0.412,0.588,-0.5423
0.0,0.0,1.0,0.0
0.0,0.182,0.818,-0.836
0.211,0.0,0.789,0.4497
0.135,0.213,0.652,-0.7909
0.0,0.0,1.0,0.0
0.131,0.092,0.778,-0.063
0.349,0.228,0.423,0.3182
0.0,0.16,0.84,-0.2732
0.181,0.266,0.553,-0.6149
0.1,0.254,0.646,-0.9142
0.0,0.506,0.494,-0.9702
0.0,0.425,0.575,-0.5719
0.076,0.171,0.753,-0.7311
0.0,0.661,0.339,-0.5994
0.396,0.396,0.208,0.0
0.0,0.126,0.874,-0.6808
0.0,0.518,0.482,-0.9531
0.0,0.77,0.23,-0.8771
0.0,0.412,0.588,-0.9169
0.067,0.0,0.933,0.1531
0.0,0.167,0.833,-0.5574
0.15,0.132,0.719,0.0772
0.0,0.278,0.722,-0.6418
0.289,0.264,0.448,0.128
0.0,0.0,1.0,0.0
0.0,0.186,0.814,-0.6259
0.0,0.134,0.866,-0.7351
0.104,0.238,0.658,-0.743
0.0,0.142,0.858,-0.5106
0.258,0.367,0.375,-0.6808
0.0,0.241,0.759,-0.8074
0.306,0.055,0.639,0.9184
0.293,0.119,0.588,0.9059
0.0,0.477,0.523,-0.9287
0.354,0.0,0.646,0.8074
0.0,0.447,0.553,-0.9571
0.149,0.24,0.612,-0.7304
0.219,0.143,0.637,0.2263
0.0,0.0,1.0,0.0
0.104,0.0,0.896,0.7469
0.0,0.123,0.877,-0.4215
0.043,0.431,0.526,-0.9153
0.0,0.155,0.845,-0.5106
0.0,0.496,0.504,-0.93
0.153,0.16,0.688,-0.0462
0.0,0.295,0.705,-0.8807
0.117,0.262,0.621,-0.9159
0.036,0.207,0.756,-0.7964
0.092,0.055,0.853,-0.1027
0.082,0.114,0.804,-0.4215
0.0,0.0,1.0,0.0
0.022,0.13,0.849,-0.6705
0.068,0.253,0.679,-0.6124
0.0,0.138,0.862,-0.6808
0.294,0.0,0.706,0.7026
0.0,0.43,0.57,-0.8074
0.0,0.251,0.749,-0.8934
0.191,0.194,0.615,-0.0258
0.099,0.406,0.495,-0.8658
